Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.015774708,-0.401764526,4.210594025,8.015830994,9.063336212
0.025803708,-0.437689819,4.289629669,8.321944427,9.372686602
0.035832708,-0.476159821,4.309687958,8.644822998,9.671251374
0.045861708,-0.396226044,4.241280212,8.839118958,9.81200677
0.055890708,-0.324974213,4.166435852,8.970395966,9.896100228
0.065920708,-0.30072464,4.12691803,9.129664764,10.02360546
0.075949708,-0.297730866,4.044589233,9.129515076,9.989764324
0.085978708,-0.261955261,3.958518219,9.043144684,9.875067231
0.096007708,-0.302969971,3.939208374,8.913963318,9.750276686
0.106036708,-0.348026276,3.939358063,8.800499268,9.648235673
0.116066708,-0.247136078,4.037553864,8.834328918,9.716392586
0.126095708,-0.117206268,4.033661957,8.80484024,9.685524134
0.136124708,-0.14280304,3.945046234,8.603059845,9.465538611
0.146153708,-0.307161255,3.869603119,8.367898865,9.224419101
0.156182708,-0.469723206,3.815565491,8.254883881,9.106167569
0.166211708,-0.531844025,3.81332016,8.321195984,9.168782433
0.176241708,-0.505199432,3.803291016,8.440647583,9.2717194
0.186270708,-0.4352948,3.776197357,8.535849609,9.343975417
0.196299708,-0.392783203,3.789369965,8.692424011,9.49061845
0.206328708,-0.383502502,3.870351563,8.900341644,9.713020991
0.216357708,-0.376916199,3.961661682,9.123677216,9.953809072
0.226387708,-0.365539856,4.023183746,9.235794067,10.08065072
0.236416708,-0.439635773,4.043541412,9.224717102,10.08161259
0.246445708,-0.52181488,3.979624329,9.070837097,9.919162576
0.256474708,-0.490679627,3.814068604,8.866362305,9.664381321
0.266503708,-0.317639465,3.678899689,8.69017868,9.442160942
0.276533708,-0.205672302,3.615132294,8.587941284,9.320097537
0.286562708,-0.229622498,3.605402527,8.542585602,9.275096907
0.296591708,-0.220790863,3.585344238,8.631650391,9.349268976
0.306620708,-0.102536774,3.571872253,8.696615295,9.402122249
0.316649708,0.061671753,3.602109375,8.719667358,9.434595603
0.326678708,0.194745026,3.626808014,8.637488251,9.370051509
0.336708708,0.217946777,3.710633698,8.517288208,9.293035115
0.346737708,0.128582611,3.797153778,8.40352478,9.222480091
0.356766708,0.027093658,3.804338837,8.271199951,9.104201046
0.366795708,-0.059576111,3.763174438,8.150700531,8.977691814
0.376824708,0.011076965,3.736679535,8.236921234,9.044875238
0.386854708,-0.035476227,3.672762451,8.469687195,9.231795262
0.396883708,-0.020657043,3.660787354,8.587641907,9.335383456
0.406912708,0.073048096,3.619772644,8.676706696,9.401772657
0.416941708,0.167501679,3.50436264,8.676706696,9.359158798
